,start_node,end_node,distance
135,0,8,8.337564
136,1,16,12.058446
137,2,290,32.669117
138,2,56,20.280199
288,3,23,58.053925
289,3,578,10.352132
290,3,15,10.228285
369,4,10,47.543568
370,4,21,12.645781
371,4,334,32.852684
508,5,578,55.954372
509,5,23,12.058446
510,5,8,12.499814
511,5,574,18.389399
623,6,19,8.369141
624,6,568,33.615597
625,7,25,11.50877
731,8,16,15.794995
732,9,530,32.928875
733,9,20,6.974609
734,9,529,20.957924
735,9,565,42.49831
806,10,14,3.178631
807,10,580,9.882254
873,11,27,12.382674
874,11,32,54.462864
976,12,39,15.892101
977,13,48,23.482996
1014,14,30,8.506623
1015,14,21,47.399918
1053,15,32,8.906262
1054,15,37,58.94236
1055,16,25,14.332251
1111,17,252,11.34726
1112,17,477,8.489779
1113,17,543,31.576588
1162,18,515,14.217381
1163,18,375,4.976558
1237,19,31,5.57959
1238,19,574,150.095642
1239,20,42,14.423528
1265,21,36,5.783701
1297,22,300,4.419328
1298,22,286,3.918644
1307,23,33,4.18457
1308,23,41,48.214138
1309,24,25,4.569092
1310,24,34,14.332017
1311,26,55,22.83193
1474,27,31,12.264169
1475,27,47,56.249199
1476,28,58,20.45657
1508,29,432,21.786268
1509,29,154,12.886117
1568,31,38,4.453089
1569,32,47,12.7139
1570,32,50,58.404812
1571,33,37,3.178202
1572,34,44,9.535151
1573,34,39,18.749775
1574,35,59,19.66754
1575,35,42,9.440531
1576,35,395,64.613121
1777,37,50,13.359894
1778,37,54,59.533737
1882,38,57,15.892218
1883,39,48,15.379898
1942,40,426,12.06492
1943,40,379,19.954348
1953,41,44,12.499814
1954,42,52,12.382824
1955,42,45,11.020279
1956,42,338,8.088411
2124,43,118,10.020412
2146,44,54,8.906721
2147,44,65,31.544085
2148,45,52,7.610694
2243,46,64,12.058446
2360,47,61,8.906262
2361,47,66,57.734863
2362,48,65,12.382674
2363,48,55,16.220556
2364,49,51,4.453173
2642,50,66,10.351593
2643,50,69,59.222298
2644,51,62,4.453089
2645,51,59,13.988484
2646,52,84,33.015511
2647,52,67,16.829584
2725,53,248,19.510818
2726,53,546,19.269005
2749,54,69,12.057994
2750,54,70,32.946613
2751,55,58,13.778273
2770,56,523,14.50197
2844,57,73,15.221487
2845,57,64,9.554852
2846,59,81,24.116707
2891,60,285,13.059709
2892,60,524,17.097803
2893,60,238,63.521095
2928,61,76,15.892101
2974,63,293,12.494151
2975,63,535,2.934928
2976,63,550,6.201898
3026,64,76,57.734863
3027,65,70,8.506623
3028,65,75,49.999237
3168,66,74,8.906721
3169,66,77,61.015335
3244,67,92,27.389729
3309,68,75,6.35695
3379,69,77,10.780768
3380,69,79,31.544085
3454,70,79,12.7139
3455,70,80,47.034843
3522,71,259,8.746373
3523,71,532,5.957755
3567,72,139,19.078934
3575,73,83,13.359434
3576,73,91,69.073387
3577,74,78,8.506623
3578,75,80,9.535269
3579,75,81,41.96579
3630,76,91,16.009668
3631,76,89,59.533737
3851,77,87,8.906262
3852,77,90,30.541122
4015,78,89,8.337972
4016,78,86,24.999737
4017,79,90,8.337972
4018,79,96,49.999474
4019,80,96,11.567402
4020,80,93,40.78587
4023,81,93,11.508899
4024,81,338,34.67234
4056,82,571,28.067989
4057,82,567,12.059089
4058,82,500,13.805832
4253,83,101,12.7139
4254,83,104,67.265335
4255,84,100,10.228285
4256,84,92,15.795102
4257,84,103,6.366263
4291,85,272,22.695274
4292,85,508,5.914459
4293,85,184,10.268762
4339,86,102,12.058446
4340,86,99,34.225418
4341,87,99,7.610345
4387,88,571,13.172885
4398,89,105,13.95391
4399,89,102,26.252275
4400,90,95,7.390979
4455,91,104,12.713782
4456,91,105,57.447769
4457,92,97,12.499685
4526,93,106,10.780429
4542,94,506,11.789072
4543,94,495,4.220059
4600,95,112,15.892101
4601,95,107,43.749275
4602,96,107,10.780429
4603,96,106,38.985329
4604,97,108,10.780326
4609,98,418,7.810483
4685,99,111,13.95435
4686,99,124,32.431076
4767,100,113,12.058446
4768,100,108,26.815023
4849,101,115,12.058353
4850,101,120,68.749008
4931,102,119,12.057901
4932,102,111,33.061195
5019,103,338,25.555134
5050,104,120,12.058446
5051,104,123,57.73473
5052,105,123,13.95435
5053,105,119,27.211079
5054,106,121,12.058353
5139,107,125,12.058353
5140,107,121,39.308662
5141,108,122,10.228285
5236,109,232,10.175168
5237,109,514,12.01417
5238,109,347,5.69783
5239,109,414,14.734305
5289,110,419,7.21668
5290,110,576,16.267906
5316,111,128,10.780326
5317,111,124,32.735996
5318,112,130,11.567466
5319,112,125,31.249699
5320,113,129,11.50877
5321,113,122,27.977304
5389,114,538,45.504524
5390,114,542,29.195478
5411,115,133,68.749008
5442,116,322,3.038031
5443,116,305,10.916212
5444,117,524,28.902653
5445,117,238,30.871517
5446,117,491,8.905468
5452,118,219,12.292171
5471,119,131,11.509314
5472,119,128,32.735996
5641,120,133,12.058353
5642,120,137,57.734863
5643,121,135,12.058446
5644,121,127,11.020279
5645,122,136,12.7139
5741,123,137,12.057901
5742,123,131,26.486452
5743,124,134,10.780326
5744,124,126,9.244219
5745,125,138,11.566996
5746,125,135,39.308426
5811,126,130,11.020403
5812,127,176,47.559193
5813,127,129,7.742196
5814,127,338,66.134384
5866,128,140,12.7139
5867,128,134,32.735996
5868,129,141,12.058446
5869,129,136,28.288328
5960,130,142,11.567466
5961,130,138,31.249588
6040,131,140,33.061195
6271,132,346,0.327422
6272,132,428,1.684595
6273,132,367,7.366007
6274,132,416,4.672355
6301,133,146,12.057994
6302,133,148,57.734623
6303,134,147,12.71347
6304,135,144,9.535151
6305,136,145,10.228285
6405,137,148,12.058446
6406,137,158,88.983841
6407,138,149,12.058446
6408,138,144,37.212917
6560,139,572,14.120496
6564,140,147,32.735889
6565,141,153,10.780326
6566,141,145,29.471226
6649,142,155,12.057901
6650,142,149,29.766754
6692,143,336,9.109375
6693,143,535,14.612965
6694,143,309,13.99487
6802,144,159,13.35981
6894,145,160,12.058353
6957,146,157,11.509314
6958,146,162,56.249199
6959,147,158,12.383209
6960,147,152,8.110248
7043,148,162,12.7139
7044,148,164,60.711838
7045,149,161,11.508899
7046,149,159,37.49966
7061,150,232,9.528906
7062,150,511,7.257817
7063,150,525,8.595983
7111,151,152,3.046143
7112,151,155,12.499814
7113,152,174,21.560755
7114,153,165,12.058446
7115,153,160,29.766869
7190,154,374,23.011423
7256,155,166,10.780326
7257,155,161,27.977066
7323,156,521,8.423772
7324,156,289,10.146119
7325,156,555,5.146135
7326,156,443,2.488273
7468,157,169,11.566996
7469,157,167,31.249588
7470,158,170,11.566931
7471,159,171,12.057994
7472,160,172,12.057994
7581,161,171,39.308662
7666,162,173,10.228285
7698,163,363,17.595633
7699,163,378,8.849416
7700,163,312,4.910402
7739,164,177,12.7139
7740,164,170,29.766754
7741,165,178,12.7139
7742,165,172,29.766754
7824,166,180,12.7139
7825,166,186,67.265099
