,ID,X,Y
49,0,4266.987305,4102.538086
105,1,4213.679688,4103.933105
106,2,4207.587402,4103.933105
107,3,4149.710938,4103.933105
108,4,4104.019043,4103.933105
169,5,4152.757324,4105.327637
241,6,4140.572754,4108.117676
290,7,4239.571777,4109.512207
291,8,4181.695312,4109.512207
292,9,4078.127197,4109.512207
409,10,4270.033203,4112.302246
484,11,4212.156738,4115.091797
485,12,4161.895508,4115.091797
486,13,4108.588379,4115.091797
582,14,4244.141113,4117.881836
670,15,4186.264648,4120.671387
671,16,4087.265625,4120.671387
721,17,4081.17334,4122.066406
775,18,4137.526855,4123.461426
831,19,4216.726074,4124.855957
832,20,4169.51123,4124.855957
833,21,4067.465576,4124.855957
918,22,4250.233398,4127.645996
919,23,4161.895508,4127.645996
1020,24,4047.665771,4130.435547
1066,25,4195.40332,4131.830566
1067,26,4093.357666,4131.830566
1129,27,4140.572754,4133.225586
1180,28,4222.818359,4134.620117
1228,29,4253.279297,4136.015137
1390,30,4204.541504,4140.199707
1479,31,4224.341309,4142.989746
1480,32,4145.14209,4142.989746
1481,33,4097.926758,4142.989746
1642,34,4210.633789,4148.569336
1722,35,4192.356934,4151.358887
1723,36,4149.710938,4151.358887
1724,37,4102.496094,4151.358887
1753,38,4228.910645,4152.753906
1754,39,4186.264648,4152.753906
1884,40,4215.203125,4156.938477
1885,41,4169.51123,4156.938477
1957,42,4201.495117,4159.728516
2006,43,4154.280273,4161.123047
2007,44,4105.54248,4161.123047
2088,45,4149.756836,4271.333008
2097,46,4222.818359,4163.913086
2136,47,4204.541504,4165.307617
2137,48,4137.526855,4165.307617
2229,49,4171.03418,4168.097656
2303,50,4210.633789,4170.887207
2304,51,4110.111328,4170.887207
2380,52,4174.080078,4173.677246
2381,53,4052.235107,4173.677246
2427,54,4140.572754,4175.071777
2604,55,4178.649414,4180.651367
2605,56,4143.618652,4180.651367
2641,57,4113.157715,4182.046387
2642,58,4056.804199,4182.046387
2760,59,4116.203613,4186.230957
2794,60,4146.665039,4187.625977
2795,61,4088.788574,4187.625977
2842,62,4132.95752,4189.020996
2879,63,4181.695312,4190.415527
2968,64,4119.25,4193.205566
2969,65,4061.373291,4193.205566
3027,66,4001.973877,4194.600586
3100,67,4151.234375,4197.390137
3101,68,4108.588379,4197.390137
3148,69,4186.264648,4198.785156
3149,70,4094.880859,4198.785156
3150,71,4001.973877,4198.785156
3196,72,4005.02002,4200.180176
3401,73,4155.803223,4205.759277
3402,74,4065.942627,4205.759277
3498,75,4008.066162,4208.549316
3544,76,4096.403809,4209.944336
3632,77,4142.095703,4212.733887
3686,78,4070.511719,4214.128906
3726,79,4158.849609,4215.523438
3779,80,4116.203613,4216.918457
3821,81,4100.973145,4218.313477
3865,82,4011.112305,4219.708496
3911,83,4157.32666,4221.103027
3995,84,4137.526855,4223.893066
3996,85,4132.95752,4223.893066
4037,86,4139.049805,4225.288086
4038,87,4129.911133,4225.288086
4039,88,4075.081055,4225.288086
4100,89,4129.911133,4226.682617
4156,90,4139.049805,4228.077637
4157,91,4107.06543,4228.077637
4197,92,4136.003418,4229.472656
4198,93,4131.43457,4229.472656
4199,94,4117.726562,4229.472656
4246,95,4017.20459,4230.867188
4290,96,4151.234375,4232.262207
4291,97,4044.619629,4232.262207
4338,98,4078.127197,4233.657227
4451,99,4110.111328,4236.446777
4591,100,4096.403809,4240.631836
4592,101,4049.188965,4240.631836
4593,102,4020.250732,4240.631836
4698,103,4082.696289,4243.421387
4815,104,4067.465576,4246.210938
4816,105,4050.711914,4246.210938
4892,106,4038.527344,4249.000977
4943,107,4053.758057,4250.395996
4944,108,4024.819824,4250.395996
5049,109,4117.726562,4253.185547
5138,110,4102.496094,4255.975098
5228,111,4090.311523,4258.765137
5258,112,4027.865967,4260.160156
5335,113,4075.081055,4262.949707
5427,114,4059.850342,4265.739746
5528,115,4047.665771,4268.529297
